name,department,overall_rating,difficulty_rating,would_take_again_percentage,profile_url,courses
Daniel Ta,Chemistry,5,1,100,https://www.ratemyprofessors.com/professor/3156078,
Andrew Farris,Statistics,2,3.9,24,https://www.ratemyprofessors.com/professor/1808811,
JoAnna Whitener,Statistics,3.7,3.1,69,https://www.ratemyprofessors.com/professor/2173631,
John Constantine,Economics,3.6,3.3,53,https://www.ratemyprofessors.com/professor/20268,
Priscilla San Souci,Psychology,4.8,1.8,97,https://www.ratemyprofessors.com/professor/2073811,
Alisa Shubb,Communication,2.7,2.9,29,https://www.ratemyprofessors.com/professor/105308,
Lisa Rapalyea,Human Development,3.7,2.7,62,https://www.ratemyprofessors.com/professor/1479317,
Wrye Sententia,English,3.3,3.5,43,https://www.ratemyprofessors.com/professor/809947,
Colleen Zern,Management,4.3,3.1,84,https://www.ratemyprofessors.com/professor/2448948,
Heghnar Watenpaugh,Art History,3.2,2.9,44,https://www.ratemyprofessors.com/professor/881807,
David Glick,Philosophy,4.7,2.4,91,https://www.ratemyprofessors.com/professor/2641455,
Lauren Young,Political Science,3.6,3,64,https://www.ratemyprofessors.com/professor/2491865,
Martin Fraas,Mathematics,4.4,2.7,85,https://www.ratemyprofessors.com/professor/2637605,
Rishidev Chaudhuri,Mathematics,4.9,2.8,96,https://www.ratemyprofessors.com/professor/2694080,
Charlotte Biltekoff,American Studies,4,2.7,84,https://www.ratemyprofessors.com/professor/861551,
Katherine Hauck,Economics,1.7,4,17,https://www.ratemyprofessors.com/professor/3044239,
Bianca Hand,History,4.8,2.1,93,https://www.ratemyprofessors.com/professor/3032756,
Priscilla Manu,Japanese,4.9,1.8,88,https://www.ratemyprofessors.com/professor/3033192,
Ambarish Kulkarni,Engineering,3.3,2.9,57,https://www.ratemyprofessors.com/professor/2663070,
Alice Accorsi,Microbiology,2,4,0,https://www.ratemyprofessors.com/professor/3159971,
Karinna Hurley,Human Development,1,5,0,https://www.ratemyprofessors.com/professor/3160169,
Chris Nitta,Computer Science,2.4,4.3,22,https://www.ratemyprofessors.com/professor/465913,
Jiahui Wei,Chemistry,1.7,4.3,17,https://www.ratemyprofessors.com/professor/3035687,
Keith Watenpaugh,Religious Studies,3.3,3.1,50,https://www.ratemyprofessors.com/professor/956013,
Mark Siegler,Economics,3.2,3.9,46,https://www.ratemyprofessors.com/professor/437731,
Lingfei Cui,Mathematics,2.4,3.6,33,https://www.ratemyprofessors.com/professor/2929772,
Katheryn Russ,Economics,4,2.8,69,https://www.ratemyprofessors.com/professor/549377,
Sara Dye,Plant Pathology,4.6,2,90,https://www.ratemyprofessors.com/professor/2338451,
Joseph Dumit,Anthropology,4,1.8,75,https://www.ratemyprofessors.com/professor/853636,
Roberta Millstein,Philosophy,4.5,4,87,https://www.ratemyprofessors.com/professor/942365,
Eliza Bliss-Moreau,Psychology,2.3,4.4,23,https://www.ratemyprofessors.com/professor/2344456,
Jemma DeCristo,African-American Studies,2.5,2.6,40,https://www.ratemyprofessors.com/professor/2337419,
Jenna Stearns,Economics,2.8,4,41,https://www.ratemyprofessors.com/professor/2351502,
Jessica Colvin,Landscape Architecture & Regional Planning,3,3.3,50,https://www.ratemyprofessors.com/professor/2753808,
Connor Fitzgerald,Mathematics,5,3.2,100,https://www.ratemyprofessors.com/professor/3030971,
Fu Liu,Mathematics,2.5,4.2,36,https://www.ratemyprofessors.com/professor/956598,
Damien Caillaud,Anthropology,3.4,3.2,56,https://www.ratemyprofessors.com/professor/2365720,
Bala Rajaratnam,Statistics,2.2,3.7,31,https://www.ratemyprofessors.com/professor/2520779,
Gerardo Diaz,Science & Technology Studies,4.8,2.2,90,https://www.ratemyprofessors.com/professor/2308073,
Angus the Tercero Cat AKA Lord Muffin,Advisor,5,1.8,100,https://www.ratemyprofessors.com/professor/3124958,
Bryan Enderle,Chemistry,4.6,3.4,85,https://www.ratemyprofessors.com/professor/81946,
Ozcan Gulacar,Chemistry,4,3.6,83,https://www.ratemyprofessors.com/professor/2021434,
Walter Leal,Molecular/Cellular Biology,4.1,3.2,68,https://www.ratemyprofessors.com/professor/674373,
Baki Tezcan,History,4.1,2.3,88,https://www.ratemyprofessors.com/professor/128363,
Matthias  Hess,Animal Science,2.4,3.8,35,https://www.ratemyprofessors.com/professor/2009443,
Mark Verbitsky,Political Science,4.3,3.7,80,https://www.ratemyprofessors.com/professor/2198706,
Brandon Kinne,Political Science,4.5,3.4,90,https://www.ratemyprofessors.com/professor/1947142,
Christoph Schlom,Economics,2.3,4.1,33,https://www.ratemyprofessors.com/professor/3056116,
Greg Pasternack,Science,3.3,2.9,57,https://www.ratemyprofessors.com/professor/466437,
Joy Geng,Psychology,4.3,2.4,90,https://www.ratemyprofessors.com/professor/1486505,
Nicholas Talbott,Humanities,4.8,2.5,95,https://www.ratemyprofessors.com/professor/2610122,
Shalini Satkunanandan,Political Science,4.2,3.6,80,https://www.ratemyprofessors.com/professor/1522574,
Jocelyn Sharlet,Literature,2.7,2.4,0,https://www.ratemyprofessors.com/professor/352835,
Devin Romines,Biological Sciences,5,2.7,100,https://www.ratemyprofessors.com/professor/3050827,
Cody  Pitts,Chemistry,4,4,73,https://www.ratemyprofessors.com/professor/2942403,
Edgar  Campos,Sociology,5,1.2,100,https://www.ratemyprofessors.com/professor/3146826,
Thomas Weideman,Physics,2.3,4.5,24,https://www.ratemyprofessors.com/professor/1783467,
Evan Antzoulatos,Psychology,4.7,2.1,94,https://www.ratemyprofessors.com/professor/2507469,
Eric Babson,Mathematics,3.5,3.3,64,https://www.ratemyprofessors.com/professor/1295514,
Russ Hovey,Animal Science,4.5,3,92,https://www.ratemyprofessors.com/professor/1103624,
James Adams,Political Science,4.8,1.9,98,https://www.ratemyprofessors.com/professor/724207,
Gabriella Montinola,Political Science,3.3,3.1,65,https://www.ratemyprofessors.com/professor/180631,
Burkhard Schipper,Economics,2.7,3.7,31,https://www.ratemyprofessors.com/professor/806589,
Christyann Darwent,Anthropology,3.9,2.8,55,https://www.ratemyprofessors.com/professor/149994,
Jessica Hanselman Gray,English,4.3,2.4,77,https://www.ratemyprofessors.com/professor/2044928,
Erik Engstrom,Political Science,3.9,2,70,https://www.ratemyprofessors.com/professor/586639,
I-chia Lee,Chinese,4.7,3.3,86,https://www.ratemyprofessors.com/professor/1793454,
Natalia   Duong,Science & Technology Studies,3.3,3.7,50,https://www.ratemyprofessors.com/professor/3099048,
Aylin Atilgan,English,3,2,100,https://www.ratemyprofessors.com/professor/2064210,
Cheemeng Tan,Biomedical Engineering,5,4,100,https://www.ratemyprofessors.com/professor/2351829,
Colin Reardon,Immunology,5,2,100,https://www.ratemyprofessors.com/professor/3078479,
John Challenor,Mathematics,4.1,3.5,76,https://www.ratemyprofessors.com/professor/2273631,
Colin Cameron,Economics,3.1,3.2,38,https://www.ratemyprofessors.com/professor/141845,
Julian Elias,University Writing Program,4.1,2.5,75,https://www.ratemyprofessors.com/professor/1986613,
Elizabeth Boults,Landscape Architecture & Regional Planning,3.9,3,73,https://www.ratemyprofessors.com/professor/728038,
Julia Simon,French,3.3,2.8,62,https://www.ratemyprofessors.com/professor/569827,
Zoran Ljepovic,Viticulture & Enology,1.7,3.5,17,https://www.ratemyprofessors.com/professor/2886434,
Albert Contreras,Management,3.4,3.2,56,https://www.ratemyprofessors.com/professor/2551689,
Stephen Wheeler,Environmental Science,4.1,2.1,72,https://www.ratemyprofessors.com/professor/1261065,
Jiao Li,Chinese,4.2,3.4,82,https://www.ratemyprofessors.com/professor/2021881,
Bethany Qualls,English,5,2.1,100,https://www.ratemyprofessors.com/professor/2171772,
Patsy Owens,Landscape Architecture & Regional Planning,3.9,2.6,91,https://www.ratemyprofessors.com/professor/945205,
Robert Blake,Spanish,4.5,2.3,100,https://www.ratemyprofessors.com/professor/542579,
Christoph  Hanssmann,Women's Studies,4,2,66,https://www.ratemyprofessors.com/professor/2873603,
Peyton Wood,Mathematics,4.6,2.5,78,https://www.ratemyprofessors.com/professor/2824161,
Tim Hyde,Art,3.1,2.4,71,https://www.ratemyprofessors.com/professor/1969833,
Alexander Forrest,Civil Engineering,2.8,3.3,40,https://www.ratemyprofessors.com/professor/2396563,
Cory Parker,Environmental Science,3.8,2.9,77,https://www.ratemyprofessors.com/professor/2920058,
Christina Moya,Anthropology,1.7,4.1,0,https://www.ratemyprofessors.com/professor/2384615,
Xianglong Wang,Engineering,4,3.3,83,https://www.ratemyprofessors.com/professor/2977747,
Henry Gonzalez,Human Ecology,4.7,1.3,100,https://www.ratemyprofessors.com/professor/3108147,
Dante Barksdale,African-American Studies,4.5,2.5,100,https://www.ratemyprofessors.com/professor/3148166,
Rohit Thomas,Mathematics,2.8,4,45,https://www.ratemyprofessors.com/professor/1464002,
Marisol De La Cadena,Anthropology,2.8,2.3,49,https://www.ratemyprofessors.com/professor/245134,
Andrew Alameda,Mathematics,4.2,2.9,85,https://www.ratemyprofessors.com/professor/2870971,
Kristin Lagattuta,Psychology,4.5,2.8,84,https://www.ratemyprofessors.com/professor/151145,
Amber Boydstun,Political Science,4.6,3.1,94,https://www.ratemyprofessors.com/professor/1225734,
Anne Whitaker,University Writing Program,2.3,4.4,26,https://www.ratemyprofessors.com/professor/2122758,
Luis Rademacher,Mathematics,3.7,2.7,74,https://www.ratemyprofessors.com/professor/2207055,
Can Le,Statistics,3,3.6,53,https://www.ratemyprofessors.com/professor/2292538,
Katrina Jessoe,Economics,2.6,3.7,35,https://www.ratemyprofessors.com/professor/1730166,
Seth Frey,Communication,3.1,3.6,50,https://www.ratemyprofessors.com/professor/2495608,
Flagg Miller,Religious Studies,2.8,3.8,46,https://www.ratemyprofessors.com/professor/2118679,
Dario Cantu,Viticulture & Enology,4.6,2,95,https://www.ratemyprofessors.com/professor/1903336,
Selvi Stanislaus,Agricultural & Resource Economics,2,2.8,25,https://www.ratemyprofessors.com/professor/3072819,
Sicily Lerner,Comparative Literature,3.8,2.5,75,https://www.ratemyprofessors.com/professor/2961401,
Yonggyu Lee,Mathematics,3,3.6,50,https://www.ratemyprofessors.com/professor/2660983,
Ilias Tagkopoulos,Computer Science,3.3,3.9,43,https://www.ratemyprofessors.com/professor/1906574,
Ina Simonovska,Economics,3.3,3.5,56,https://www.ratemyprofessors.com/professor/1384023,
Katt Fontecha,Design,4.1,2.3,87,https://www.ratemyprofessors.com/professor/2993703,
Ingrid Salim,Education,4.8,1,100,https://www.ratemyprofessors.com/professor/2655856,
Ruicong Zheng,Mathematics,5,2,100,https://www.ratemyprofessors.com/professor/2972118,
Maxime Pouokam,Statistics,3.2,3.1,56,https://www.ratemyprofessors.com/professor/2496390,
Chris Jones,Mathematics,1.7,4,0,https://www.ratemyprofessors.com/professor/3138947,
Julietta Hua,Women's Studies,5,1,100,https://www.ratemyprofessors.com/professor/3103355,
George Mattey,Philosophy,4,3.9,91,https://www.ratemyprofessors.com/professor/39348,
(Carolyn) Miki Wheeler,Japanese,3.7,2.9,64,https://www.ratemyprofessors.com/professor/1224236,
Yael Teff-Seker,Religious Studies,3.8,2.1,65,https://www.ratemyprofessors.com/professor/2700909,
Noha Radwan,Comparative Literature,3,3,43,https://www.ratemyprofessors.com/professor/1551526,
Ralph  Hexter,Classics,4.5,3.6,86,https://www.ratemyprofessors.com/professor/2888576,
Astrid Volder,Agriculture,3,3.7,54,https://www.ratemyprofessors.com/professor/2184443,
Gyivan Lopez-Campos,Mathematics,3,2.9,50,https://www.ratemyprofessors.com/professor/3125171,
Andre Daccache,Agricultural Engineering,2.8,2.3,66,https://www.ratemyprofessors.com/professor/2344502,
Anne Britt,Biological Sciences,2.1,3.8,22,https://www.ratemyprofessors.com/professor/1131205,
Andrew Waldron,Mathematics,2.4,4.3,29,https://www.ratemyprofessors.com/professor/58851,
Tina Rulli,Philosophy,4,3.1,77,https://www.ratemyprofessors.com/professor/1937722,
Dan Romik,Mathematics,2.8,3.1,39,https://www.ratemyprofessors.com/professor/1411087,
Christopher Cappa,Civil Engineering,3,3.1,52,https://www.ratemyprofessors.com/professor/1854135,
Ellen Hartigan-O'Connor,History,3.8,3.6,66,https://www.ratemyprofessors.com/professor/1114445,
Bruce German,Science,3.2,2.9,40,https://www.ratemyprofessors.com/professor/357207,
John Albeck,MolecularCellular Biology,4.8,2.2,100,https://www.ratemyprofessors.com/professor/2151744,
Shahar Sansani,Economics,2.7,3.8,47,https://www.ratemyprofessors.com/professor/2670247,
Kathleen Cruz,Classics,5,1.6,100,https://www.ratemyprofessors.com/professor/2684924,
Hanti Lin,Philosophy,2.8,3.3,48,https://www.ratemyprofessors.com/professor/2581902,
John Durand,Wildlife,4,3.1,61,https://www.ratemyprofessors.com/professor/2720880,
Manar Al-Shatarat,Languages,4.9,2.1,100,https://www.ratemyprofessors.com/professor/2310341,
Brett Poulin,Environmental Toxicology,5,2,100,https://www.ratemyprofessors.com/professor/3018493,
Nicolas Caramp,Economics,3.1,3.5,54,https://www.ratemyprofessors.com/professor/2347648,
Robert Faris,Sociology,2.8,3.6,30,https://www.ratemyprofessors.com/professor/1143545,
Benjamin Highton,Political Science,3.8,2.9,71,https://www.ratemyprofessors.com/professor/318453,
Christopher Hare,Political Science,3.7,2.3,68,https://www.ratemyprofessors.com/professor/2233943,
Thomas Beamish,Sociology,3.8,3.5,60,https://www.ratemyprofessors.com/professor/271463,
Spencer Kiesel,Political Science,4.1,1.8,80,https://www.ratemyprofessors.com/professor/2882722,
Jialin Wang,Mathematics,2.7,4,45,https://www.ratemyprofessors.com/professor/3141669,
Lishan Az,Film,3.5,2.4,62,https://www.ratemyprofessors.com/professor/2559625,
Maurice Magana,Chicano Studies,1,5,0,https://www.ratemyprofessors.com/professor/3158826,
Sarah Lievens,Chemistry,3.9,3.7,74,https://www.ratemyprofessors.com/professor/896506,
Matthew Butner,Computer Science,3.6,3.7,69,https://www.ratemyprofessors.com/professor/1961070,
Bagher Modjtahedi,Economics,3,3.7,50,https://www.ratemyprofessors.com/professor/257549,
Dowman Varn,Mathematics,3.2,3.6,55,https://www.ratemyprofessors.com/professor/2151522,
Joseph Biello,Mathematics,2.2,4.4,21,https://www.ratemyprofessors.com/professor/753030,
Janine Wilson,Economics,4.5,2.9,86,https://www.ratemyprofessors.com/professor/661326,
Diego Yankelevich,Engineering,2.3,3.4,27,https://www.ratemyprofessors.com/professor/54757,
Yelena Frid,Computer Science,3.7,2.7,76,https://www.ratemyprofessors.com/professor/2241323,
Joël Porquet,Computer Science,3.7,4,68,https://www.ratemyprofessors.com/professor/2229763,
